Dino Number,Image,Classification,Level,Breeding Charges,Trait Count,Background,Body,Face,Headwear,Eyes,Clothes,Accessory
9295,https://img.dapperdinos.com/dinos/1J9NKWdRG4IUvBQ.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Spikes Bone,Hearts,Ascot,<none>
9296,https://img.dapperdinos.com/dinos/6lhwpNaRHATnunD.png,OG,5,5,6,Snazzy Orange,Yellow,Unimpressed,Grey Beanie,Mask Chill,Tshirt Trex White,<none>
9297,https://img.dapperdinos.com/dinos/b66pHNL87gVcCXt.png,OG,5,5,7,Elegant Red,Charcoal,Happy,Dino Grabber,Blush,Crew Neck Purple,Monocle
9298,https://img.dapperdinos.com/dinos/gPot0tiY2q7WZMR.png,OG,5,5,7,Spiffy Blue,Blue,Happy,Brain,Happy,Suit Dapper Blue,Eyepatch
9299,https://img.dapperdinos.com/dinos/umLP5kFkEGOyXHk.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Horns,Mask Hearts,Crew Neck Pink,<none>
9300,https://img.dapperdinos.com/dinos/UPlxpsAsJyQvcBG.png,OG,5,5,7,Elegant Red,Blue Spotted,Happy,Dino Helmet Bonehead,Hypno,Cyberpunk Jacket,3D Glasses
9301,https://img.dapperdinos.com/dinos/GgiUPn29vMCJKcS.png,OG,5,5,6,Dapper Cyan,Charcoal,Happy,High Top Fade Stars,Popped Dead,Pirate,<none>
9302,https://img.dapperdinos.com/dinos/F4zYXOsNnzODBCJ.png,OG,5,5,5,Crisp Green,Charcoal Spotted,Grin,High Top Fade,Hearts,<none>,<none>
9303,https://img.dapperdinos.com/dinos/ZQq4tw7s5eF1AFr.png,OG,5,5,7,Snazzy Orange,Yellow,Tongue,High Top Fade,Mask Dead,Ascot,3D Glasses
9304,https://img.dapperdinos.com/dinos/VeQz8F4rpYF1k3b.png,OG,5,5,7,Snazzy Orange,Blue,Two Tooth,Grey Hair Sweep,Allergies,Flannel,Sunglasses
9305,https://img.dapperdinos.com/dinos/HontCVr97qVA1OF.png,OG,5,5,6,Spiffy Blue,Blue Spotted,Tongue,Motorcycle Helmet,Hypno,Suit Navy,<none>
9306,https://img.dapperdinos.com/karmacollective/K544.png,Karma,5,6,6,Rich Tu Green,Grey Spotted,Happy,Grey Beanie,Chill,<none>,<none>
9307,https://img.dapperdinos.com/dinos/0JTWG3ncrwA6lAA.png,OG,5,5,6,Dapper Cyan,Blue,Tongue,Dino Helmet,Hypno,Tshirt Black,<none>
9308,https://img.dapperdinos.com/dinos/VT2mF4IZiAVn2tr.png,OG,5,5,6,Dapper Cyan,Grey,Tongue,Horns,Happy,Pepe Jacket Tshirt,<none>
9309,https://img.dapperdinos.com/dinos/V90yRHvnTLDtVnZ.png,OG,5,5,7,Snazzy Orange,Green,Derpy,Bonehead Silver,Happy,Ascot,Sunglasses
9310,https://img.dapperdinos.com/dinos/xoX7SYFcoOrwI3t.png,OG,5,5,7,Snazzy Orange,Charcoal,Happy,Spikes Gold,Mask Happy,Pirate,Monocle
9311,https://img.dapperdinos.com/dinos/nDbQALV90Fd42sL.png,OG,5,5,6,Dapper Cyan,Green,Tongue,Cowboy Hat,Bliss Lashes,Tiedye,<none>
9312,https://img.dapperdinos.com/dinos/Phdhj29bIZHzuFG.png,OG,5,5,6,Dapper Cyan,Green,Happy,Bowler Black Emblem,Mask Hypno,Tracksuit Spotted,<none>
9313,https://img.dapperdinos.com/dinos/70bUdsz6EHnJLBZ.png,OG,5,5,6,Dapper Cyan,Blue,Happy,Cycling Cap Bonehead,Mask Happy,Scarf,<none>
9314,https://img.dapperdinos.com/dinos/pAfTlY7FNimecr8.png,OG,5,5,6,Spiffy Blue,Yellow Spotted,Derpy,Cycling Cap,Happy,Spiked Jacket,<none>
9315,https://img.dapperdinos.com/dinos/kxFF0GvqwykXXaD.png,OG,5,5,6,Dapper Cyan,Green,Happy,Rosies Red Bandana,Hearts,Scarf,<none>
9316,https://img.dapperdinos.com/dinos/kXwlOmOw7CHEsQi.png,OG,5,5,7,Nifty Yellow,Blue Spotted,Happy,Bucket Hat,Cyclops,Polo Pink,Pearls
9317,https://img.dapperdinos.com/dinos/Guh6GIGOMChrdRN.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Fedora,Cyclops Lashes,Flannel,<none>
9318,https://img.dapperdinos.com/karmacollective/K442.png,Karma,5,6,7,Bakeroner Green 3,Grey,Happy,Horns,Happy Lashes,Pepe Jacket Tshirt,<none>
9319,https://img.dapperdinos.com/dinos/KGFlvwhnTrJAi62.png,OG,5,5,6,Nifty Yellow,Green,Two Tooth Beard,Cycling Cap,Mask Happy,Suit Navy,<none>
9320,https://img.dapperdinos.com/dinos/eUfWEZ7FwREJzbI.png,OG,5,5,7,Crisp Green,Blue,Unimpressed,Dino Helmet,Hearts,Basketball Jersey,Wheat
9321,https://img.dapperdinos.com/dinos/ldIWXigN3rwIaa7.png,OG,5,5,6,Spiffy Blue,Blue,Tongue,Horns Broken,Cyclops Lashes,Chef,<none>
9322,https://img.dapperdinos.com/dinos/v40VmgCKVrvszpp.png,OG,5,5,7,Spiffy Blue,Grey,Happy,Horns Broken,Chill Lashes,Labcoat,3D Glasses
9323,https://img.dapperdinos.com/dinos/kQShUqCv69Ly1rq.png,OG,5,5,6,Dapper Cyan,Charcoal,Happy,Bowler Black,Bliss Lashes,Flannel,<none>
9324,https://img.dapperdinos.com/dinos/ze7PJ9OQPa6Zo8i.png,OG,5,5,6,Snazzy Orange,Yellow Spotted,Derpy,Dino Helmet Bonehead,Hypno,Tshirt Trex Grey,<none>
9325,https://img.dapperdinos.com/dinos/BnU1S3VeijjfSmf.png,OG,5,5,6,Dashing Purple,Bubblegum,Derpy,King,Hearts,Qipao,<none>
9326,https://img.dapperdinos.com/dinos/4r1vwJjo8UC48Ya.png,OG,5,5,6,Dapper Cyan,Grey,Toothy Smile,Bucket Hat,Happy,Ascot,<none>
9327,https://img.dapperdinos.com/dinos/tzwXgKwPyxJQDrf.png,OG,5,5,6,Nifty Yellow,Grey,Tongue,Fro,Bliss,<none>,Anchor Tattoo
9328,https://img.dapperdinos.com/dinos/uYqByUHPkquYfvJ.png,OG,5,5,6,Dapper Cyan,Blue,Tongue,Bucket Hat,Hollow,Tshirt Stripe,<none>
9329,https://img.dapperdinos.com/dinos/2UhUkstBkK1DOi8.png,OG,5,5,6,Spiffy Blue,Grey,Two Tooth,Motorcycle Helmet,Happy,Tracksuit Spotted,<none>
9330,https://img.dapperdinos.com/dinos/dmeZ4yxRXpLWnZx.png,OG,5,5,6,Dapper Cyan,Blue,Happy,Chefs Hat,Chill,Pepe Jacket Tshirt,<none>
9331,https://img.dapperdinos.com/dinos/KNnSiz9Ntr1RDXd.png,OG,5,5,7,Nifty Yellow,Grey,Tongue,Bowler Black Emblem,Hearts,Varsity Jacket,Nosehorn Gold
9332,https://img.dapperdinos.com/dinos/c8im4SnFQ4XpaD5.png,OG,5,5,7,Snazzy Orange,Charcoal,Unimpressed,Egghead,Hypno,Robe,Wheat
9333,https://img.dapperdinos.com/dinos/egMzbkRWUYYoiHq.png,OG,5,5,7,Nifty Yellow,Green,Toothy Smile,Digger Hat Bonehead,Mask Chill,Tiedye,Monocle
9334,https://img.dapperdinos.com/dinos/fJoraHJWlr50Run.png,OG,5,5,5,Dapper Cyan,Blue,Happy,Long Hair Brown,Allergies,<none>,<none>
9335,https://img.dapperdinos.com/dinos/AsLJaEUTknqk5Eb.png,OG,5,5,7,Snazzy Orange,Yellow Spotted,Happy,Donut Horns,Hypno,Turtleneck,Nosehorn
9336,https://img.dapperdinos.com/dinos/vpSdkNQmVN3bVA4.png,OG,5,5,7,Elegant Red,Blue Spotted,Derpy,Donut,Happy,Pepe Jacket Tshirt,Sunglasses White
9337,https://img.dapperdinos.com/dinos/ZJywZo4taRTans9.png,OG,5,5,6,Nifty Yellow,Blue,Happy,Astronaut Helmet Closed,Mask Hearts,Suit Grey,<none>
9338,https://img.dapperdinos.com/dinos/Eh5kbl12sYrvczy.png,OG,5,5,6,Dapper Cyan,Grey,Happy,High Top Fade Stars,Hearts,Polo Tiger,<none>
9339,https://img.dapperdinos.com/dinos/YW6rMklbiuOfvhN.png,OG,5,5,6,Spiffy Blue,Grey,Tongue,Brain,Mask Hearts,Spiked Jacket,<none>
9340,https://img.dapperdinos.com/karmacollective/K528.png,Karma,5,6,8,Rich Tu Teal,Grey,Happy,Bowler Black Emblem,Happy Lashes,Qipao,Nosehorn Gold
9341,https://img.dapperdinos.com/dinos/WpvACXxWRvCXlCj.png,OG,5,5,7,Snazzy Orange,Charcoal Spotted,Tongue,Donut Bonehead,Hearts,Tiedye,Nosehorn
9342,https://img.dapperdinos.com/dinos/1Q69poWaAyddQwD.png,OG,5,5,6,Fly Magenta,Teal Spotted,Grin,<none>,Mask Dead,Hoodie Grey,Nosehorn Gold
9343,https://img.dapperdinos.com/dinos/RaacSvMfqksZ9i0.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,High Top Fade Stars,Chill Lashes,Basketball Jersey,<none>
9344,https://img.dapperdinos.com/karmacollective/K446.png,Karma,5,6,7,Bakeroner Yellow 3,Grey,Happy,Halo,Bliss Lashes,Polo Pink,<none>
9345,https://img.dapperdinos.com/dinos/PTxM1iMyNyd5BYk.png,OG,5,5,6,Crisp Green,Teal,Derpy,Cap Neon,Bliss,Hoodie Grey,<none>
9346,https://img.dapperdinos.com/dinos/D9wBbg355YBIcW8.png,OG,5,5,7,Spiffy Blue,Blue,Happy,Cap Grey,Happy,Pepe Jacket Tshirt,Eyepatch
9347,https://img.dapperdinos.com/dinos/fLw1h0W1xBrZQRC.png,OG,5,5,7,Crisp Green,Green,Unimpressed,Crown,Bliss,Suit Grey,Pipe
9348,https://img.dapperdinos.com/dinos/quDWS7WEzP9cCrt.png,OG,5,5,7,Nifty Yellow,Blue,Grin,Halo,Happy,Tiedye,Sunglasses
9349,https://img.dapperdinos.com/dinos/oLWNRTWzxbim6m3.png,OG,5,5,7,Snazzy Orange,Yellow,Grin,Dino Helmet Bonehead,Hearts,Suit Navy,Sunglasses White
9350,https://img.dapperdinos.com/dinos/fo3cszu9JUQciTi.png,OG,5,5,7,Crisp Green,Yellow,Tongue,Chefs Hat,Happy Lashes,Spiked Jacket,Sunglasses
9351,https://img.dapperdinos.com/dinos/rF48s583fIUX1ve.png,OG,5,5,6,Crisp Green,Yellow Spotted,Happy,Wizard Hat,Bliss,Astronaut,<none>
9352,https://img.dapperdinos.com/dinos/lEFCyqagJDD6ORu.png,OG,5,5,7,Nifty Yellow,Yellow,Unimpressed,Brain,Mask Dead,Tracksuit Spotted,Pipe
9353,https://img.dapperdinos.com/dinos/1XSO0I51KqKdkW4.png,OG,5,5,6,Nifty Yellow,Lava,Happy,High Top Fade Stars,Popped Dead,Tshirt Camo,<none>
9354,https://img.dapperdinos.com/dinos/qmz5BEqCDi7GREq.png,OG,5,5,6,Dapper Cyan,Yellow Spotted,Happy,Short Hair Blonde,Mask Dead,Suit Navy,<none>
9355,https://img.dapperdinos.com/dinos/p6xGPKHXHMZE7qu.png,OG,5,5,7,Crisp Green,Charcoal,Unimpressed,Donut Bonehead,Chill,Varsity Jacket,Pipe
9356,https://img.dapperdinos.com/karmacollective/K303.png,Karma,5,6,8,Rich Tu Yellow,Charcoal,Happy,High Top Fade,Mask Hearts,Qipao,Nosehorn Gold
9357,https://img.dapperdinos.com/dinos/Xl5Zst60ZoRmIKT.png,OG,5,5,7,Nifty Yellow,Blue,Toothy Smile,Grey Hair Sweep,Happy,Polo Pink,Sunglasses
9358,https://img.dapperdinos.com/dinos/TRFeGNwKLXlEku0.png,OG,5,5,7,Snazzy Orange,Green,Two Tooth,Rosies Red Bandana,Mask Happy,Hoodie Yellow,Nosehorn Gold
9359,https://img.dapperdinos.com/dinos/PxbHdIE3cFGwiMC.png,OG,5,5,6,Dapper Cyan,Green,Toothy Smile,Stars,Chill,Cowboy Vest,<none>
9360,https://img.dapperdinos.com/dinos/lTlwTAWldo1694N.png,OG,5,5,5,Dapper Cyan,Charcoal,Happy,Wizard Hat,Cyclops Lashes,<none>,<none>
9361,https://img.dapperdinos.com/dinos/ueHuf3mW4eEW7SB.png,OG,5,5,6,Crisp Green,Charcoal,Two Tooth,Tophat,Popped Hearts,Suit Dapper Grey,<none>
9362,https://img.dapperdinos.com/dinos/8rZrHfZlhxayCOM.png,OG,5,5,5,Nifty Yellow,Yellow Spotted,Happy,Astronaut Helmet Closed,Bliss Lashes,<none>,<none>
9363,https://img.dapperdinos.com/dinos/tAzNHUdoleMVDRh.png,OG,5,5,6,Spiffy Blue,Green,Toothy Smile,High Top Fade,Bliss,Ascot,<none>
9364,https://img.dapperdinos.com/karmacollective/K494.png,Karma,5,6,7,Bakeroner Green 3,Charcoal,Happy,Sombrero,Happy,Ascot,<none>
9365,https://img.dapperdinos.com/dinos/vLKF2asAR1rlb54.png,OG,5,5,6,Crisp Green,Teal Spotted,Happy,Fro Sparkle,Mask Dead,Tiedye,<none>
9366,https://img.dapperdinos.com/karmacollective/K102.png,Karma,5,6,7,Bakeroner Green 1,Blue,Tongue,High Top Fade Halo,Happy Lashes,Suit Dapper Grey,<none>
9367,https://img.dapperdinos.com/dinos/xiPVJPjZ36eUbje.png,OG,5,5,6,Crisp Green,Green,Toothy Smile,Horns,Popped Hearts,Robe,<none>
9368,https://img.dapperdinos.com/dinos/XBEyNlKDCEU30LF.png,OG,5,5,7,Elegant Red,Charcoal Spotted,Tongue,Dino Helmet Bonehead,Cyclops,Polo Pink,Nosehorn
9369,https://img.dapperdinos.com/dinos/u2vTQNafR6fp8JL.png,OG,5,5,7,Crisp Green,Grey,Happy,Fro,Hypno,Tiedye,Nosehorn Gold
9370,https://img.dapperdinos.com/dinos/YnxEA7Ez4uxQpoo.png,OG,5,5,6,Nifty Yellow,Green Spotted,Derpy,Bonehead,Allergies,Hoodie Yellow,<none>
9371,https://img.dapperdinos.com/dinos/3PNOuN0axVXjmTB.png,OG,5,5,6,Snazzy Orange,Yellow Spotted,Unimpressed,Dino Grabber,Chill,Cowboy Vest,<none>
9372,https://img.dapperdinos.com/karmacollective/hatch/K276.gif,Karma,5,6,8,Hatch 4,Yellow,Unimpressed,Tophat Bonehead,Mask Hearts,Tshirt Black,Wheat
9373,https://img.dapperdinos.com/dinos/d4VScH6eFYXDkN7.png,OG,5,5,6,Spiffy Blue,Green,Toothy Smile,Cap Neon,Allergies,Robe,<none>
9374,https://img.dapperdinos.com/dinos/3kLcOIvbHoudca0.png,OG,5,5,6,Elegant Red,Teal,Tongue,Captain Holo,Mask Hypno,Rosies Denim,<none>
9375,https://img.dapperdinos.com/dinos/nlbNy06Uhql2gwp.png,OG,5,5,6,Spiffy Blue,Yellow Spotted,Tongue,Short Hair Blonde,Cyclops Lashes,Cowboy Vest,<none>
9376,https://img.dapperdinos.com/dinos/3Ppv8E6dCg0vJEp.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Soldier,Cyclops,Turtleneck,<none>
9377,https://img.dapperdinos.com/dinos/7qz3wmBdFPsaaqS.png,OG,5,5,6,Spiffy Blue,Grey,Derpy,Cap Camo,Cyclops Lashes,Cowboy Vest,<none>
9378,https://img.dapperdinos.com/dinos/OIe9QqFYgx1uGD1.png,OG,5,5,6,Dapper Cyan,Yellow,Happy,Short Hair Blonde,Happy,Polo Tiger,<none>
9379,https://img.dapperdinos.com/dinos/WrjrCLvsxM6TIRp.png,OG,5,5,7,Elegant Red,Teal Spotted,Unimpressed,Dino Grabber,Cyclops,Flannel,Pipe
9380,https://img.dapperdinos.com/dinos/6YosaZom8RY3UPL.png,OG,5,5,6,Crisp Green,Yellow,Unimpressed,Dino Helmet,Happy Lashes,Basketball Jersey,<none>
9381,https://img.dapperdinos.com/dinos/8c3lt9yFXh58OMQ.png,OG,5,5,6,Snazzy Orange,Teal,Unimpressed,Sombrero,Mask Happy,Polo Teal,<none>
9382,https://img.dapperdinos.com/dinos/IjKW80icYjawVMK.png,OG,5,5,6,Dapper Cyan,Green,Happy,Sombrero,Popped Dots,Qipao,<none>
9383,https://img.dapperdinos.com/dinos/iRyCMvsH9xJH7vA.png,OG,5,5,6,Spiffy Blue,Blue,Toothy Smile,Halo,Chill Lashes,Suit Dapper Blue,<none>
9384,https://img.dapperdinos.com/dinos/AUU01jIE5udQHZv.png,OG,5,5,6,Spiffy Blue,Grey,Derpy,Motorcycle Helmet,Chill,Suspenders,<none>
9385,https://img.dapperdinos.com/dinos/bijGhmR80vWstEw.png,OG,5,5,7,Elegant Red,Charcoal Spotted,Derpy,Dino Helmet,Mask Chill,Scarf,Monocle
9386,https://img.dapperdinos.com/dinos/0teXsQV5gSI3Y7U.png,OG,5,5,7,Nifty Yellow,Blue Spotted,Happy,Donut,Mask Chill,Tiedye,Nosehorn
9387,https://img.dapperdinos.com/dinos/JIAcwm7LBw0VGC3.png,OG,5,5,7,Snazzy Orange,Teal,Tongue,Dino Helmet,Chill,Polo Teal,Monocle
9388,https://img.dapperdinos.com/dinos/OXsO6ioNrYyleOa.png,OG,5,5,7,Spiffy Blue,Blue,Happy,Rosies Red Bandana,Hearts,Tiedye,Monocle
9389,https://img.dapperdinos.com/dinos/FleAhbaOxJKoS6k.png,OG,5,5,6,Spiffy Blue,Green Spotted,Tongue,Donut Bonehead,Bliss,Polo Pink,<none>
9390,https://img.dapperdinos.com/dinos/FePFbowCfrjTYyW.png,OG,5,5,6,Dapper Cyan,Charcoal,Happy,Chefs Hat Bonehead,Chill,Varsity Jacket,<none>
9391,https://img.dapperdinos.com/dinos/1yyLpWKUEXPwwjC.png,OG,5,5,6,Crisp Green,Grey,Tongue,Donut Horns,Allergies,Crew Neck Purple,<none>
9392,https://img.dapperdinos.com/dinos/wDroFXF8aAJuU1d.png,OG,5,5,6,Spiffy Blue,Charcoal,Two Tooth,Tophat,Chill Lashes,Toga,<none>
9393,https://img.dapperdinos.com/dinos/36kYU5re8VOSaf4.png,OG,5,5,6,Spiffy Blue,Yellow Spotted,Happy,Bonehead,Hollow,Suit Dapper Blue,<none>
9394,https://img.dapperdinos.com/dinos/UAR6KLf0QDX15kB.png,OG,5,5,7,Fly Magenta,Charcoal Spotted,Derpy,Pirate Hat,Allergies,Tracksuit Spotted,Monocle
9395,https://img.dapperdinos.com/dinos/HBehZtt92aAb34i.png,OG,5,5,6,Dapper Cyan,Grey Spotted,Happy,Cap Grey,Bliss,Ascot,<none>
9396,https://img.dapperdinos.com/dinos/fULNLsGXIQUzrdb.png,OG,5,5,6,Dapper Cyan,Green Spotted,Happy,Soldier,Happy Lashes,Cowboy Vest,<none>
9397,https://img.dapperdinos.com/karmacollective/K451.png,Karma,5,6,6,Rich Tu Purple,Blue,Happy,Chefs Hat,Cyclops,<none>,<none>
9398,https://img.dapperdinos.com/dinos/VsSZtLQwrStt8mM.png,OG,5,5,6,Spiffy Blue,Yellow,Grin,Grey Beanie,Mask Happy,Tshirt Camo,<none>
9399,https://img.dapperdinos.com/dinos/0wzyB2lX7u8mtG1.png,OG,5,5,6,Dapper Cyan,Teal,Happy,King Bonehead,Cyclops Lashes,Pepe Jacket,<none>
9400,https://img.dapperdinos.com/dinos/UXYgRx4bS29EoN5.png,OG,5,5,6,Dapper Cyan,Charcoal Spotted,Happy,Cap Red Backwards,Bliss Lashes,Flannel,<none>
9401,https://img.dapperdinos.com/dinos/I8AuVbLUp5TGRs8.png,OG,5,5,6,Dapper Cyan,Grey,Happy,Tophat,Chill,Polo Tiger,<none>
9402,https://img.dapperdinos.com/dinos/vuAV5jdO35GaP8i.png,OG,5,5,6,Dapper Cyan,Charcoal,Happy,Motorcycle Helmet,Laser,Polo Tiger,<none>
9403,https://img.dapperdinos.com/dinos/cAFE0ZVtES00hKP.png,OG,5,5,7,Nifty Yellow,Green Spotted,Happy,Karate,Mask Dead,Flannel,Monocle
9404,https://img.dapperdinos.com/dinos/fLfzyyJE3jtXJvA.png,OG,5,5,6,Nifty Yellow,Yellow Spotted,Two Tooth,Jiangshi,Mask Chill,Cyberpunk Jacket Tshirt,<none>
9405,https://img.dapperdinos.com/dinos/3PQDaWMmWK3szac.png,OG,5,5,7,Elegant Red,Teal,Tongue,High Top Fade Halo,Mask Chill,Suit Navy,Nosehorn
9406,https://img.dapperdinos.com/dinos/4h7sDkiO2c22hoW.png,OG,5,5,6,Crisp Green,Grey,Grin,Egghead,Chill,Hoodie Grey,<none>
9407,https://img.dapperdinos.com/dinos/QKgarVTF2kmVZO7.png,OG,5,5,7,Crisp Green,Blue,Two Tooth,Donut Horns,Happy,Varsity Jacket,3D Glasses
9408,https://img.dapperdinos.com/dinos/U73RVXg3CxH70O5.png,OG,5,5,6,Dapper Cyan,Charcoal,Happy,Digger Hat,Popped Dead,Chef,<none>
9409,https://img.dapperdinos.com/dinos/3uLuU4W6cM72QX9.png,OG,5,5,6,Nifty Yellow,Teal,Unimpressed,Stars,Cyclops Lashes,Scarf,<none>
9410,https://img.dapperdinos.com/dinos/Q8X3Z9zhD5IGxIJ.png,OG,5,5,5,Dapper Cyan,Blue,Tongue,<none>,Mask Chill,Hoodie Grey,<none>
9411,https://img.dapperdinos.com/dinos/uTzYozoyz4EicES.png,OG,5,5,6,Spiffy Blue,Yellow,Toothy Smile,High Top Fade,Bliss Lashes,Hoodie Grey,<none>
9412,https://img.dapperdinos.com/karmacollective/K533.png,Karma,5,6,7,Rich Tu Purple,Charcoal Spotted,Grin,Cycling Cap Bonehead,Cyclops Lashes,Hoodie Yellow,<none>
9413,https://img.dapperdinos.com/dinos/IhRJWZcs9nGR433.png,OG,5,5,5,Spiffy Blue,Teal Spotted,Happy,Tophat,Popped Hearts,<none>,<none>
9414,https://img.dapperdinos.com/dinos/MFOZQwGL1H1CXvd.png,OG,5,5,6,Spiffy Blue,Charcoal,Grin,Long Hair Red,Happy Lashes,Tshirt Camo,<none>
9415,https://img.dapperdinos.com/dinos/eMed7LKLBtNhLCm.png,OG,5,5,6,Dapper Cyan,Green Spotted,Happy,Grey Hair Sweep,Hearts,Robe,<none>
9416,https://img.dapperdinos.com/dinos/ZA4SpUpujyLTQxO.png,OG,5,5,7,Elegant Red,Yellow,Tongue,Bonehead Holo,Happy,Robe,Eyepatch
9417,https://img.dapperdinos.com/dinos/5hlkAyTfgtmqAce.png,OG,5,5,7,Fly Magenta,Green,Toothy Smile Beard,Karate,Chill,Crew Neck Purple,Sunglasses White
9418,https://img.dapperdinos.com/dinos/kS6SskNkIy8mApG.png,OG,5,5,6,Spiffy Blue,Blue Spotted,Grin,Soldier,Chill Lashes,Polo Tiger,<none>
9419,https://img.dapperdinos.com/dinos/15IHCljtvOVYx8j.png,OG,5,5,6,Dapper Cyan,Blue,Happy,Pirate Hat,Happy Lashes,Varsity Jacket,<none>
9420,https://img.dapperdinos.com/dinos/j8jm43ABKx3rX79.png,OG,5,5,7,Crisp Green,Charcoal Spotted,Happy,Bowler Black,Chill,Ascot,3D Glasses
9421,https://img.dapperdinos.com/karmacollective/K356.png,Karma,5,6,7,Bakeroner Green 1,Yellow Spotted,Happy,Cycling Cap Bonehead,Happy Lashes,Polo Teal,<none>
9422,https://img.dapperdinos.com/dinos/9a0XRxI5M3bIXEM.png,OG,5,5,7,Snazzy Orange,Yellow,Tongue,Fro,Mask Happy,Qipao,Monocle
9423,https://img.dapperdinos.com/dinos/u33k4l2rW5AeWzI.png,OG,5,5,7,Snazzy Orange,Charcoal,Toothy Smile,British,Allergies,Suit Grey,Nosehorn
9424,https://img.dapperdinos.com/dinos/svEyHpcu74yzVoq.png,OG,5,5,6,Crisp Green,Charcoal Spotted,Grin,Sombrero,Cyclops Lashes,Polo Pink,<none>
9425,https://img.dapperdinos.com/dinos/zZI7lfHxTb1vlgj.png,OG,5,5,7,Nifty Yellow,Blue Spotted,Unimpressed,Sombrero,Mask Chill,Tracksuit Spotted,Wheat
9426,https://img.dapperdinos.com/dinos/0mnVutlaaQknKCT.png,OG,5,5,7,Crisp Green,Green,Happy,Astronaut Helmet Closed,Hearts,Varsity Jacket,Eyepatch
9427,https://img.dapperdinos.com/dinos/wiq8gWshDzaD4Sb.png,OG,5,5,7,Snazzy Orange,Charcoal,Derpy,Sombrero,Hearts,Ascot,Sunglasses White
9428,https://img.dapperdinos.com/dinos/wUI4WOFegc2deQl.png,OG,5,5,7,Nifty Yellow,Charcoal,Happy,Horns Broken,Mask Happy,Suit Dapper Grey,Sunglasses White
9429,https://img.dapperdinos.com/dinos/HQ630r8j3IgVY7Z.png,OG,5,5,7,Crisp Green,Charcoal,Happy,Short Hair Blonde,Mask Dead,Tiedye,Chain
9430,https://img.dapperdinos.com/dinos/Ey9WImIgzknCW3u.png,OG,5,5,6,Dapper Cyan,Blue,Tongue,Cap Red Backwards,Bliss Lashes,Ascot,<none>
9431,https://img.dapperdinos.com/dinos/4E7luaGIlCkqizu.png,OG,5,5,6,Spiffy Blue,Grey Spotted,Tongue,Dino Helmet Bonehead,Happy Lashes,Polo Teal,<none>
9432,https://img.dapperdinos.com/dinos/Ngz2vV45fZ8Sq09.png,OG,5,5,7,Snazzy Orange,Blue Spotted,Happy,Digger Hat,Hypno,Spiked Jacket,Eyepatch
9433,https://img.dapperdinos.com/karmacollective/K419.png,Karma,5,6,8,Rich Tu Green,Grey Spotted,Grin,Cap Grey,Happy,Suit Grey,Sunglasses White
9434,https://img.dapperdinos.com/dinos/JQrBhAVjdVYzbca.png,OG,5,5,7,Crisp Green,Grey,Happy,Jiangshi,Allergies,Polo Teal,Chain
9435,https://img.dapperdinos.com/dinos/wBSqon4kyOP54my.png,OG,5,5,6,Snazzy Orange,Charcoal,Grin,Halo Shiny,Chill Lashes,Qipao,<none>
9436,https://img.dapperdinos.com/dinos/BWnpexGII3IKVNT.png,OG,5,5,7,Nifty Yellow,Grey,Derpy,Dino Helmet,Popped Hearts,Crew Neck Pink,Pearls
9437,https://img.dapperdinos.com/dinos/AdkMpnTrZw2X4PF.png,OG,5,5,5,Dashing Purple,Lava,Lava Split,Spikes Holo,<none>,Hoodie Grey,<none>
9438,https://img.dapperdinos.com/dinos/s2eCKqMSxLM3REl.png,OG,5,5,5,Spiffy Blue,Blue Spotted,Happy,British,Happy,<none>,<none>
9439,https://img.dapperdinos.com/dinos/lLuWunbYKIb9JQ1.png,OG,5,5,6,Dapper Cyan,Charcoal,Happy,Dino Helmet Bonehead,Mask Chill,Flannel,<none>
9440,https://img.dapperdinos.com/dinos/C52mhfEkFIEzxJL.png,OG,5,5,6,Dapper Cyan,Blue,Two Tooth,Captain,Mask Happy,Suit Grey,<none>
9441,https://img.dapperdinos.com/dinos/SOm3ThHHDTt20xN.png,OG,5,5,6,Spiffy Blue,Green,Toothy Smile,Rosies Red Bandana,Mask Chill,Pepe Jacket,<none>
9442,https://img.dapperdinos.com/dinos/ER2WjSBqjw8ItfJ.png,OG,5,5,6,Dapper Cyan,Green,Happy,Donut Bonehead,Cyclops,Varsity Jacket,<none>
9443,https://img.dapperdinos.com/dinos/nJamCTpsZwobaXb.png,OG,5,5,7,Snazzy Orange,Teal,Happy,King,Happy Lashes,Crew Neck Purple,Eyepatch
9444,https://img.dapperdinos.com/dinos/3vHLAgmXjnobmGY.png,OG,5,5,6,Crisp Green,Teal Spotted,Tongue,Tophat Bonehead,Chill Lashes,Hoodie Grey,<none>
9445,https://img.dapperdinos.com/dinos/8cMLa8odDrFwQRz.png,OG,5,5,6,Spiffy Blue,Yellow Spotted,Toothy Smile,King Bonehead,Happy Lashes,Pepe Jacket Tshirt,<none>
9446,https://img.dapperdinos.com/dinos/pWnFHjE42fU0MLA.png,OG,5,5,7,Crisp Green,Grey Spotted,Happy,Chefs Hat,Happy Lashes,Suit Grey,Sunglasses
